set_id,session_id,exercise_name,exercise_category,set_number,reps,weight_lb,distance_yards,duration_seconds,jump_count,perceived_difficulty_1_10,notes
67,13,Approach Jumps,plyometric,3,4.0,,,,4.0,5,
68,13,Approach Jumps,plyometric,4,4.0,,,,4.0,6,
69,13,Pogos,plyometric,1,20.0,,,,20.0,6,
70,13,Pogos,plyometric,2,20.0,,,,20.0,7,
71,13,Pogos,plyometric,3,20.0,,,,20.0,5,
72,13,Seated Box Jumps,plyometric,1,5.0,,,,5.0,6,
73,13,Seated Box Jumps,plyometric,2,5.0,,,,5.0,7,
74,13,Seated Box Jumps,plyometric,3,5.0,,,,5.0,7,
75,14,Hitting Lines,volleyball,1,30.0,,,1800.0,,6,
76,14,Gameplay,volleyball,1,60.0,,,3600.0,,7,
77,15,Spanish Squat Iso Hold,isometric,1,,,,30.0,,1,
78,15,Spanish Squat Iso Hold,isometric,2,,,,30.0,,2,
79,15,Spanish Squat Iso Hold,isometric,3,,,,30.0,,1,
80,15,Calf Iso Hold,isometric,1,,,,30.0,,1,
81,15,Calf Iso Hold,isometric,2,,,,30.0,,3,
82,15,Calf Iso Hold,isometric,3,,,,30.0,,3,
83,16,Back Squat,lower_strength,1,6.0,128.9,,,,7,
84,16,Back Squat,lower_strength,2,6.0,165.2,,,,8,
85,16,Back Squat,lower_strength,3,6.0,220.3,,,,7,
86,16,Romanian Deadlift,lower_strength,1,8.0,88.9,,,,7,
87,16,Romanian Deadlift,lower_strength,2,8.0,130.3,,,,7,
88,16,Romanian Deadlift,lower_strength,3,8.0,116.4,,,,7,
89,17,Hitting Lines,volleyball,1,30.0,,,1800.0,,10,
90,17,Serve Receive,volleyball,1,20.0,,,1200.0,,8,
91,17,Gameplay,volleyball,1,60.0,,,3600.0,,10,
92,19,Back Squat,lower_strength,1,6.0,121.4,,,,8,
93,19,Back Squat,lower_strength,2,6.0,127.7,,,,7,
94,19,Back Squat,lower_strength,3,6.0,165.6,,,,8,
95,19,Trap Bar Deadlift,lower_strength,1,5.0,63.9,,,,8,
96,19,Trap Bar Deadlift,lower_strength,2,5.0,146.4,,,,7,
97,19,Trap Bar Deadlift,lower_strength,3,5.0,163.8,,,,9,
98,19,Romanian Deadlift,lower_strength,1,8.0,140.2,,,,8,
99,19,Romanian Deadlift,lower_strength,2,8.0,136.9,,,,6,
100,19,Romanian Deadlift,lower_strength,3,8.0,147.8,,,,9,
101,19,Seated Calf Raise,lower_strength,1,10.0,156.7,,,,9,
102,19,Seated Calf Raise,lower_strength,2,10.0,173.6,,,,7,
103,19,Seated Calf Raise,lower_strength,3,10.0,203.0,,,,8,
104,20,Pogos,plyometric,1,20.0,,,,20.0,8,
105,20,Pogos,plyometric,2,20.0,,,,20.0,8,
106,20,Pogos,plyometric,3,20.0,,,,20.0,7,
107,20,Depth Jumps,plyometric,1,5.0,,,,5.0,6,
108,20,Depth Jumps,plyometric,2,5.0,,,,5.0,8,
109,20,Depth Jumps,plyometric,3,5.0,,,,5.0,7,
110,20,Seated Box Jumps,plyometric,1,5.0,,,,5.0,10,
111,20,Seated Box Jumps,plyometric,2,5.0,,,,5.0,8,
112,20,Seated Box Jumps,plyometric,3,5.0,,,,5.0,8,
113,21,Serve Receive,volleyball,1,20.0,,,1200.0,,4,
114,21,Gameplay,volleyball,1,60.0,,,3600.0,,7,
115,22,Backward Treadmill Walk,recovery,1,,,,10.0,,2,
116,22,Spanish Squat Iso Hold,isometric,1,,,,30.0,,2,
117,22,Spanish Squat Iso Hold,isometric,2,,,,30.0,,1,
118,22,Spanish Squat Iso Hold,isometric,3,,,,30.0,,1,
119,22,Calf Iso Hold,isometric,1,,,,30.0,,1,
120,22,Calf Iso Hold,isometric,2,,,,30.0,,1,
121,22,Calf Iso Hold,isometric,3,,,,30.0,,1,
122,23,Back Squat,lower_strength,1,6.0,146.0,,,,6,
123,23,Back Squat,lower_strength,2,6.0,174.6,,,,8,
124,23,Back Squat,lower_strength,3,6.0,170.1,,,,6,
125,23,Romanian Deadlift,lower_strength,1,8.0,77.1,,,,7,
126,23,Romanian Deadlift,lower_strength,2,8.0,162.6,,,,6,
127,23,Romanian Deadlift,lower_strength,3,8.0,136.6,,,,6,
128,23,Bulgarian Split Squat,lower_strength,1,8.0,102.9,,,,6,
129,23,Bulgarian Split Squat,lower_strength,2,8.0,120.5,,,,7,
130,23,Bulgarian Split Squat,lower_strength,3,8.0,168.1,,,,7,
131,24,Hitting Lines,volleyball,1,30.0,,,1800.0,,10,
132,24,Serve Receive,volleyball,1,20.0,,,1200.0,,8,
133,24,Gameplay,volleyball,1,60.0,,,3600.0,,9,
134,26,Back Squat,lower_strength,1,6.0,110.7,,,,7,
135,26,Back Squat,lower_strength,2,6.0,157.7,,,,6,
136,26,Back Squat,lower_strength,3,6.0,216.6,,,,8,
137,26,Romanian Deadlift,lower_strength,1,8.0,121.7,,,,7,
138,26,Romanian Deadlift,lower_strength,2,8.0,128.0,,,,8,
139,26,Romanian Deadlift,lower_strength,3,8.0,179.7,,,,7,
140,26,Bulgarian Split Squat,lower_strength,1,8.0,88.7,,,,7,
141,26,Bulgarian Split Squat,lower_strength,2,8.0,108.1,,,,8,
142,26,Bulgarian Split Squat,lower_strength,3,8.0,118.2,,,,7,
143,26,Seated Calf Raise,lower_strength,1,10.0,137.5,,,,6,
144,26,Seated Calf Raise,lower_strength,2,10.0,147.7,,,,7,
145,26,Seated Calf Raise,lower_strength,3,10.0,121.5,,,,7,
146,27,Approach Jumps,plyometric,1,4.0,,,,4.0,7,
147,27,Approach Jumps,plyometric,2,4.0,,,,4.0,8,
148,27,Approach Jumps,plyometric,3,4.0,,,,4.0,7,
149,27,Approach Jumps,plyometric,4,4.0,,,,4.0,7,
150,27,Seated Box Jumps,plyometric,1,5.0,,,,5.0,5,
151,27,Seated Box Jumps,plyometric,2,5.0,,,,5.0,8,
152,27,Seated Box Jumps,plyometric,3,5.0,,,,5.0,8,
153,28,Hitting Lines,volleyball,1,30.0,,,1800.0,,6,
154,28,Serve Receive,volleyball,1,20.0,,,1200.0,,7,
155,29,Backward Treadmill Walk,recovery,1,,,,10.0,,5,
156,29,Calf Iso Hold,isometric,1,,,,30.0,,5,
157,29,Calf Iso Hold,isometric,2,,,,30.0,,3,
158,29,Calf Iso Hold,isometric,3,,,,30.0,,3,
159,30,Back Squat,lower_strength,1,6.0,129.3,,,,8,
160,30,Back Squat,lower_strength,2,6.0,93.0,,,,7,
161,30,Back Squat,lower_strength,3,6.0,168.2,,,,5,
162,30,Trap Bar Deadlift,lower_strength,1,5.0,136.0,,,,7,
163,30,Trap Bar Deadlift,lower_strength,2,5.0,137.2,,,,6,
164,30,Trap Bar Deadlift,lower_strength,3,5.0,131.9,,,,8,
165,30,Romanian Deadlift,lower_strength,1,8.0,190.5,,,,8,
166,30,Romanian Deadlift,lower_strength,2,8.0,103.6,,,,7,
167,30,Romanian Deadlift,lower_strength,3,8.0,168.1,,,,8,
168,30,Seated Calf Raise,lower_strength,1,10.0,136.7,,,,6,
169,30,Seated Calf Raise,lower_strength,2,10.0,178.6,,,,6,
170,30,Seated Calf Raise,lower_strength,3,10.0,184.9,,,,7,
171,31,Hitting Lines,volleyball,1,30.0,,,1800.0,,7,
172,31,Serve Receive,volleyball,1,20.0,,,1200.0,,8,
173,31,Gameplay,volleyball,1,60.0,,,3600.0,,6,
174,33,Trap Bar Deadlift,lower_strength,1,5.0,164.3,,,,6,
175,33,Trap Bar Deadlift,lower_strength,2,5.0,128.9,,,,9,
176,33,Trap Bar Deadlift,lower_strength,3,5.0,58.3,,,,5,
177,33,Bulgarian Split Squat,lower_strength,1,8.0,145.6,,,,8,
178,33,Bulgarian Split Squat,lower_strength,2,8.0,115.9,,,,8,
179,33,Bulgarian Split Squat,lower_strength,3,8.0,75.7,,,,7,
180,33,Seated Calf Raise,lower_strength,1,10.0,168.5,,,,7,
181,33,Seated Calf Raise,lower_strength,2,10.0,92.6,,,,6,
182,33,Seated Calf Raise,lower_strength,3,10.0,76.3,,,,5,
183,34,Depth Jumps,plyometric,1,5.0,,,,5.0,7,
184,34,Depth Jumps,plyometric,2,5.0,,,,5.0,7,
185,34,Depth Jumps,plyometric,3,5.0,,,,5.0,7,
186,34,Seated Box Jumps,plyometric,1,5.0,,,,5.0,7,
187,34,Seated Box Jumps,plyometric,2,5.0,,,,5.0,8,
188,34,Seated Box Jumps,plyometric,3,5.0,,,,5.0,9,
189,35,Gameplay,volleyball,1,60.0,,,3600.0,,8,
190,36,Backward Treadmill Walk,recovery,1,,,,10.0,,2,
191,36,Spanish Squat Iso Hold,isometric,1,,,,30.0,,4,
192,36,Spanish Squat Iso Hold,isometric,2,,,,30.0,,2,
193,36,Spanish Squat Iso Hold,isometric,3,,,,30.0,,2,
194,36,Calf Iso Hold,isometric,1,,,,30.0,,2,
195,36,Calf Iso Hold,isometric,2,,,,30.0,,4,
196,36,Calf Iso Hold,isometric,3,,,,30.0,,3,
197,37,Back Squat,lower_strength,1,6.0,104.1,,,,8,
198,37,Back Squat,lower_strength,2,6.0,214.4,,,,8,
199,37,Back Squat,lower_strength,3,6.0,159.1,,,,7,
200,37,Trap Bar Deadlift,lower_strength,1,5.0,196.4,,,,6,
201,37,Trap Bar Deadlift,lower_strength,2,5.0,119.3,,,,7,
202,37,Trap Bar Deadlift,lower_strength,3,5.0,140.6,,,,7,
203,37,Seated Calf Raise,lower_strength,1,10.0,197.6,,,,9,
204,37,Seated Calf Raise,lower_strength,2,10.0,158.7,,,,8,
205,37,Seated Calf Raise,lower_strength,3,10.0,139.9,,,,8,
206,38,Gameplay,volleyball,1,60.0,,,3600.0,,5,
207,40,Back Squat,lower_strength,1,6.0,182.4,,,,6,
208,40,Back Squat,lower_strength,2,6.0,232.7,,,,7,
209,40,Back Squat,lower_strength,3,6.0,226.4,,,,6,
210,40,Trap Bar Deadlift,lower_strength,1,5.0,146.9,,,,7,
211,40,Trap Bar Deadlift,lower_strength,2,5.0,113.5,,,,7,
212,40,Trap Bar Deadlift,lower_strength,3,5.0,156.0,,,,7,
213,40,Romanian Deadlift,lower_strength,1,8.0,198.0,,,,8,
214,40,Romanian Deadlift,lower_strength,2,8.0,141.7,,,,6,
215,40,Romanian Deadlift,lower_strength,3,8.0,184.4,,,,6,
216,41,Approach Jumps,plyometric,1,4.0,,,,4.0,9,
217,41,Approach Jumps,plyometric,2,4.0,,,,4.0,7,
218,41,Approach Jumps,plyometric,3,4.0,,,,4.0,9,
219,41,Approach Jumps,plyometric,4,4.0,,,,4.0,8,
220,41,Pogos,plyometric,1,20.0,,,,20.0,9,
221,41,Pogos,plyometric,2,20.0,,,,20.0,8,
222,41,Pogos,plyometric,3,20.0,,,,20.0,8,
223,41,Depth Jumps,plyometric,1,5.0,,,,5.0,7,
224,41,Depth Jumps,plyometric,2,5.0,,,,5.0,8,
225,41,Depth Jumps,plyometric,3,5.0,,,,5.0,7,
226,41,Seated Box Jumps,plyometric,1,5.0,,,,5.0,8,
227,41,Seated Box Jumps,plyometric,2,5.0,,,,5.0,9,
228,41,Seated Box Jumps,plyometric,3,5.0,,,,5.0,8,
229,42,Hitting Lines,volleyball,1,30.0,,,1800.0,,8,
230,42,Serve Receive,volleyball,1,20.0,,,1200.0,,7,
231,42,Gameplay,volleyball,1,60.0,,,3600.0,,6,
232,43,Backward Treadmill Walk,recovery,1,,,,10.0,,3,
233,43,Spanish Squat Iso Hold,isometric,1,,,,30.0,,2,
234,43,Spanish Squat Iso Hold,isometric,2,,,,30.0,,3,
235,43,Spanish Squat Iso Hold,isometric,3,,,,30.0,,1,
236,43,Calf Iso Hold,isometric,1,,,,30.0,,3,
237,43,Calf Iso Hold,isometric,2,,,,30.0,,2,
238,43,Calf Iso Hold,isometric,3,,,,30.0,,4,
239,44,Back Squat,lower_strength,1,6.0,174.2,,,,5,
240,44,Back Squat,lower_strength,2,6.0,143.3,,,,5,
241,44,Back Squat,lower_strength,3,6.0,180.8,,,,4,
242,44,Trap Bar Deadlift,lower_strength,1,5.0,149.7,,,,6,
243,44,Trap Bar Deadlift,lower_strength,2,5.0,188.3,,,,7,
244,44,Trap Bar Deadlift,lower_strength,3,5.0,152.0,,,,5,
245,44,Romanian Deadlift,lower_strength,1,8.0,161.8,,,,6,
246,44,Romanian Deadlift,lower_strength,2,8.0,193.0,,,,6,
247,44,Romanian Deadlift,lower_strength,3,8.0,154.2,,,,6,
248,44,Bulgarian Split Squat,lower_strength,1,8.0,155.7,,,,7,
249,44,Bulgarian Split Squat,lower_strength,2,8.0,156.4,,,,6,
250,44,Bulgarian Split Squat,lower_strength,3,8.0,134.3,,,,5,
251,45,Hitting Lines,volleyball,1,30.0,,,1800.0,,2,
252,45,Serve Receive,volleyball,1,20.0,,,1200.0,,4,
253,47,Back Squat,lower_strength,1,6.0,194.5,,,,8,
254,47,Back Squat,lower_strength,2,6.0,152.0,,,,7,
255,47,Back Squat,lower_strength,3,6.0,126.6,,,,8,
256,47,Trap Bar Deadlift,lower_strength,1,5.0,212.1,,,,7,
257,47,Trap Bar Deadlift,lower_strength,2,5.0,201.9,,,,8,
258,47,Trap Bar Deadlift,lower_strength,3,5.0,195.5,,,,9,
259,47,Romanian Deadlift,lower_strength,1,8.0,203.2,,,,6,
260,47,Romanian Deadlift,lower_strength,2,8.0,94.2,,,,8,
261,47,Romanian Deadlift,lower_strength,3,8.0,259.6,,,,7,
262,47,Bulgarian Split Squat,lower_strength,1,8.0,167.2,,,,8,
263,47,Bulgarian Split Squat,lower_strength,2,8.0,126.2,,,,8,
264,47,Bulgarian Split Squat,lower_strength,3,8.0,151.6,,,,7,
265,47,Seated Calf Raise,lower_strength,1,10.0,112.2,,,,10,
266,47,Seated Calf Raise,lower_strength,2,10.0,136.1,,,,9,
267,47,Seated Calf Raise,lower_strength,3,10.0,102.9,,,,9,
268,48,Approach Jumps,plyometric,1,4.0,,,,4.0,6,
269,48,Approach Jumps,plyometric,2,4.0,,,,4.0,7,
270,48,Approach Jumps,plyometric,3,4.0,,,,4.0,6,
271,48,Approach Jumps,plyometric,4,4.0,,,,4.0,8,
272,48,Pogos,plyometric,1,20.0,,,,20.0,7,
273,48,Pogos,plyometric,2,20.0,,,,20.0,6,
274,48,Pogos,plyometric,3,20.0,,,,20.0,10,
275,48,Depth Jumps,plyometric,1,5.0,,,,5.0,7,
276,48,Depth Jumps,plyometric,2,5.0,,,,5.0,7,
277,48,Depth Jumps,plyometric,3,5.0,,,,5.0,8,
278,49,Hitting Lines,volleyball,1,30.0,,,1800.0,,7,
279,49,Serve Receive,volleyball,1,20.0,,,1200.0,,4,
280,49,Gameplay,volleyball,1,60.0,,,3600.0,,7,
281,50,Backward Treadmill Walk,recovery,1,,,,10.0,,1,
282,50,Spanish Squat Iso Hold,isometric,1,,,,30.0,,3,
283,50,Spanish Squat Iso Hold,isometric,2,,,,30.0,,4,
284,50,Spanish Squat Iso Hold,isometric,3,,,,30.0,,2,
285,50,Calf Iso Hold,isometric,1,,,,30.0,,2,
286,50,Calf Iso Hold,isometric,2,,,,30.0,,3,
287,50,Calf Iso Hold,isometric,3,,,,30.0,,4,
288,51,Romanian Deadlift,lower_strength,1,8.0,167.0,,,,9,
289,51,Romanian Deadlift,lower_strength,2,8.0,168.5,,,,9,
290,51,Romanian Deadlift,lower_strength,3,8.0,138.2,,,,7,
291,52,Hitting Lines,volleyball,1,30.0,,,1800.0,,8,
292,54,Back Squat,lower_strength,1,6.0,151.8,,,,6,
293,54,Back Squat,lower_strength,2,6.0,160.5,,,,5,
294,54,Back Squat,lower_strength,3,6.0,124.4,,,,7,
295,54,Trap Bar Deadlift,lower_strength,1,5.0,124.4,,,,7,
296,54,Trap Bar Deadlift,lower_strength,2,5.0,110.3,,,,8,
297,54,Trap Bar Deadlift,lower_strength,3,5.0,193.6,,,,8,
298,54,Romanian Deadlift,lower_strength,1,8.0,118.7,,,,8,
299,54,Romanian Deadlift,lower_strength,2,8.0,100.7,,,,7,
300,54,Romanian Deadlift,lower_strength,3,8.0,163.9,,,,7,
301,54,Bulgarian Split Squat,lower_strength,1,8.0,176.2,,,,6,
302,54,Bulgarian Split Squat,lower_strength,2,8.0,157.3,,,,6,
303,54,Bulgarian Split Squat,lower_strength,3,8.0,191.8,,,,8,
304,54,Seated Calf Raise,lower_strength,1,10.0,118.1,,,,6,
305,54,Seated Calf Raise,lower_strength,2,10.0,217.0,,,,6,
306,54,Seated Calf Raise,lower_strength,3,10.0,112.0,,,,8,
307,57,Backward Treadmill Walk,recovery,1,,,,10.0,,4,
308,57,Calf Iso Hold,isometric,1,,,,30.0,,4,
309,57,Calf Iso Hold,isometric,2,,,,30.0,,4,
310,57,Calf Iso Hold,isometric,3,,,,30.0,,2,
311,58,Back Squat,lower_strength,1,6.0,211.0,,,,9,
312,58,Back Squat,lower_strength,2,6.0,93.9,,,,9,
313,58,Back Squat,lower_strength,3,6.0,142.8,,,,7,
314,58,Seated Calf Raise,lower_strength,1,10.0,212.4,,,,9,
315,58,Seated Calf Raise,lower_strength,2,10.0,145.4,,,,8,
316,58,Seated Calf Raise,lower_strength,3,10.0,219.1,,,,8,
317,59,Serve Receive,volleyball,1,20.0,,,1200.0,,6,
318,59,Gameplay,volleyball,1,60.0,,,3600.0,,7,
319,61,Back Squat,lower_strength,1,6.0,147.8,,,,9,
320,61,Back Squat,lower_strength,2,6.0,200.2,,,,9,
321,61,Back Squat,lower_strength,3,6.0,106.2,,,,8,
322,61,Trap Bar Deadlift,lower_strength,1,5.0,173.1,,,,9,
323,61,Trap Bar Deadlift,lower_strength,2,5.0,214.5,,,,9,
324,61,Trap Bar Deadlift,lower_strength,3,5.0,139.3,,,,8,
325,61,Romanian Deadlift,lower_strength,1,8.0,103.5,,,,8,
326,61,Romanian Deadlift,lower_strength,2,8.0,118.9,,,,10,
327,61,Romanian Deadlift,lower_strength,3,8.0,194.2,,,,7,
328,61,Bulgarian Split Squat,lower_strength,1,8.0,92.6,,,,7,
329,61,Bulgarian Split Squat,lower_strength,2,8.0,168.2,,,,10,
330,61,Bulgarian Split Squat,lower_strength,3,8.0,170.8,,,,8,
331,63,Hitting Lines,volleyball,1,30.0,,,1800.0,,7,
332,63,Serve Receive,volleyball,1,20.0,,,1200.0,,4,
333,63,Gameplay,volleyball,1,60.0,,,3600.0,,6,
334,64,Backward Treadmill Walk,recovery,1,,,,10.0,,1,
335,64,Spanish Squat Iso Hold,isometric,1,,,,30.0,,4,
336,64,Spanish Squat Iso Hold,isometric,2,,,,30.0,,4,
337,64,Spanish Squat Iso Hold,isometric,3,,,,30.0,,4,
338,64,Calf Iso Hold,isometric,1,,,,30.0,,3,
339,64,Calf Iso Hold,isometric,2,,,,30.0,,3,
340,64,Calf Iso Hold,isometric,3,,,,30.0,,2,
341,65,Back Squat,lower_strength,1,6.0,111.4,,,,5,
342,65,Back Squat,lower_strength,2,6.0,178.5,,,,5,
343,65,Back Squat,lower_strength,3,6.0,195.1,,,,8,
344,65,Trap Bar Deadlift,lower_strength,1,5.0,116.6,,,,7,
345,65,Trap Bar Deadlift,lower_strength,2,5.0,138.3,,,,6,
346,65,Trap Bar Deadlift,lower_strength,3,5.0,226.2,,,,7,
347,65,Romanian Deadlift,lower_strength,1,8.0,86.1,,,,7,
348,65,Romanian Deadlift,lower_strength,2,8.0,133.4,,,,9,
349,65,Romanian Deadlift,lower_strength,3,8.0,148.5,,,,6,
350,65,Bulgarian Split Squat,lower_strength,1,8.0,210.2,,,,7,
351,65,Bulgarian Split Squat,lower_strength,2,8.0,161.7,,,,4,
352,65,Bulgarian Split Squat,lower_strength,3,8.0,255.9,,,,5,
353,66,Hitting Lines,volleyball,1,30.0,,,1800.0,,8,
354,66,Serve Receive,volleyball,1,20.0,,,1200.0,,9,
355,66,Gameplay,volleyball,1,60.0,,,3600.0,,7,
356,68,Back Squat,lower_strength,1,6.0,144.2,,,,9,
357,68,Back Squat,lower_strength,2,6.0,119.6,,,,6,
358,68,Back Squat,lower_strength,3,6.0,226.8,,,,7,
359,68,Romanian Deadlift,lower_strength,1,8.0,178.0,,,,9,
360,68,Romanian Deadlift,lower_strength,2,8.0,126.1,,,,9,
361,68,Romanian Deadlift,lower_strength,3,8.0,136.2,,,,7,
362,68,Bulgarian Split Squat,lower_strength,1,8.0,153.0,,,,8,
363,68,Bulgarian Split Squat,lower_strength,2,8.0,234.5,,,,8,
364,68,Bulgarian Split Squat,lower_strength,3,8.0,172.7,,,,9,
365,69,Approach Jumps,plyometric,1,4.0,,,,4.0,7,
366,69,Approach Jumps,plyometric,2,4.0,,,,4.0,6,
367,69,Approach Jumps,plyometric,3,4.0,,,,4.0,6,
368,69,Approach Jumps,plyometric,4,4.0,,,,4.0,7,
369,69,Depth Jumps,plyometric,1,5.0,,,,5.0,7,
370,69,Depth Jumps,plyometric,2,5.0,,,,5.0,6,
371,69,Depth Jumps,plyometric,3,5.0,,,,5.0,5,
372,70,Gameplay,volleyball,1,60.0,,,3600.0,,8,
373,71,Backward Treadmill Walk,recovery,1,,,,10.0,,5,
374,72,Back Squat,lower_strength,1,6.0,189.4,,,,7,
375,72,Back Squat,lower_strength,2,6.0,186.6,,,,4,
376,72,Back Squat,lower_strength,3,6.0,69.1,,,,6,
377,72,Trap Bar Deadlift,lower_strength,1,5.0,200.9,,,,6,
378,72,Trap Bar Deadlift,lower_strength,2,5.0,94.5,,,,8,
379,72,Trap Bar Deadlift,lower_strength,3,5.0,139.0,,,,6,
380,72,Romanian Deadlift,lower_strength,1,8.0,210.8,,,,6,
381,72,Romanian Deadlift,lower_strength,2,8.0,150.7,,,,4,
382,72,Romanian Deadlift,lower_strength,3,8.0,164.2,,,,5,
383,72,Bulgarian Split Squat,lower_strength,1,8.0,135.0,,,,7,
384,72,Bulgarian Split Squat,lower_strength,2,8.0,162.9,,,,6,
385,72,Bulgarian Split Squat,lower_strength,3,8.0,74.9,,,,6,
386,72,Seated Calf Raise,lower_strength,1,10.0,140.3,,,,5,
387,72,Seated Calf Raise,lower_strength,2,10.0,200.6,,,,6,
388,72,Seated Calf Raise,lower_strength,3,10.0,122.7,,,,7,
389,73,Hitting Lines,volleyball,1,30.0,,,1800.0,,6,
390,73,Serve Receive,volleyball,1,20.0,,,1200.0,,6,
391,73,Gameplay,volleyball,1,60.0,,,3600.0,,6,
392,77,Hitting Lines,volleyball,1,30.0,,,1800.0,,7,
393,77,Gameplay,volleyball,1,60.0,,,3600.0,,7,
394,78,Backward Treadmill Walk,recovery,1,,,,10.0,,4,
395,78,Spanish Squat Iso Hold,isometric,1,,,,30.0,,4,
396,78,Spanish Squat Iso Hold,isometric,2,,,,30.0,,4,
397,78,Spanish Squat Iso Hold,isometric,3,,,,30.0,,4,
398,78,Calf Iso Hold,isometric,1,,,,30.0,,3,
399,78,Calf Iso Hold,isometric,2,,,,30.0,,4,
400,78,Calf Iso Hold,isometric,3,,,,30.0,,5,
401,79,Trap Bar Deadlift,lower_strength,1,5.0,182.5,,,,6,
402,79,Trap Bar Deadlift,lower_strength,2,5.0,95.9,,,,8,
403,79,Trap Bar Deadlift,lower_strength,3,5.0,106.3,,,,8,
