test_id,athlete_id,block_id,test_date,test_type,metric_name,metric_value,unit,test_context,attempts,best_attempt,surface,shoes,warmup_quality_1_5,notes,previous_test_value,change_from_previous_test,three_test_rolling_average,personal_best_to_date,personal_best_flag,baseline_value,change_from_baseline,percent_change_from_baseline,sleep_hours,sleep_quality_1_5,soreness_overall_1_10,knee_pain_0_10,ankle_pain_0_10,energy_1_5,stress_1_5,motivation_1_5,readiness_score,seven_day_training_load,twenty_eight_day_training_load,load_spike_ratio,recommendation,previous_night_sleep_hours,previous_night_sleep_quality,previous_session_date,previous_session_type,previous_session_focus,previous_session_duration,previous_session_rpe,previous_session_load,days_since_previous_session
59,1,3,2026-03-12,jump_test,approach_touch,128.5,inches,Morning test,3,128.5,Indoor court,Volleyball shoes,4,,129.9,-1.4000000000000057,129.33,130.7,False,127.2,1.2999999999999972,1.02,8.0,2,1,2,2,5,4,4,72.8,2604.0,9976.0,1.0441058540497192,Train Hard,6.2,1.0,2026-03-11,volleyball,Skill practice and gameplay,91.0,7.0,637.0,1.0
63,1,4,2026-03-17,jump_test,approach_touch,131.0,inches,After warmup,3,131.0,Indoor court,Training shoes,4,,128.5,2.5,129.8,131.0,True,127.2,3.799999999999997,2.99,6.8,2,2,1,1,5,3,5,74.1,1747.0,8993.0,0.7770488157455799,Train Hard,7.9,3.0,2026-03-16,rest,Full rest day,0.0,0.0,0.0,1.0
67,1,4,2026-03-22,jump_test,approach_touch,130.8,inches,Fresh,5,130.8,Indoor court,Volleyball shoes,4,,131.0,-0.19999999999998863,130.1,131.0,False,127.2,3.6000000000000085,2.83,8.0,5,2,1,0,5,2,5,91.8,1932.0,8536.0,0.9053420805998126,Train Hard,7.4,1.0,2026-03-21,volleyball,Open gym or tournament,86.0,4.0,344.0,1.0
71,1,4,2026-03-27,jump_test,approach_touch,131.1,inches,After warmup,5,131.1,Track surface,Training shoes,3,,130.8,0.29999999999998295,130.97,131.1,True,127.2,3.8999999999999915,3.07,6.6,2,3,2,1,5,4,5,67.7,2301.0,9484.0,0.9704765921552088,Modify Training,7.1,3.0,2026-03-26,recovery,Mobility and low-intensity recovery,35.0,1.0,35.0,1.0
75,1,4,2026-04-01,jump_test,approach_touch,130.2,inches,After practice,3,130.2,Indoor court,Basketball shoes,3,,131.1,-0.9000000000000057,130.7,131.1,False,127.2,2.999999999999986,2.36,6.7,1,4,3,1,5,2,4,67.0,2515.0,9646.0,1.0429193448061373,Modify Training,7.3,2.0,2026-03-31,plyometric,Jump power and elasticity,44.0,8.0,352.0,1.0
79,1,4,2026-04-06,jump_test,approach_touch,130.7,inches,After warmup,4,130.7,Track surface,Basketball shoes,5,,130.2,0.5,130.67,131.1,False,127.2,3.499999999999986,2.75,7.0,2,4,1,0,5,3,5,70.1,3089.0,9894.0,1.2488376794016576,Train Hard,8.2,4.0,2026-04-05,rest,Full rest day,0.0,0.0,0.0,1.0
1,1,1,2026-01-01,jump_test,approach_vertical,35.3,inches,Morning test,3,35.3,Track surface,Basketball shoes,5,,,,35.3,35.3,True,35.3,0.0,0.0,8.2,5,2,1,1,5,3,5,88.5,100.0,100.0,,Train Hard,,,,,,,,,
5,1,1,2026-01-06,jump_test,approach_vertical,37.7,inches,After practice,5,37.7,Track surface,Basketball shoes,4,,35.3,2.4000000000000057,36.5,37.7,True,35.3,2.4000000000000057,6.8,6.9,3,1,0,0,5,2,5,84.1,1372.0,1372.0,,Train Hard,6.9,1.0,2026-01-05,strength,Lower-body strength,54.0,6.0,324.0,1.0
9,1,1,2026-01-11,jump_test,approach_vertical,35.9,inches,After practice,3,35.9,Weight room,Basketball shoes,3,,37.7,-1.8000000000000043,36.3,37.7,False,35.3,0.6000000000000014,1.7,7.3,3,1,2,1,5,4,5,77.5,2778.0,3658.0,,Train Hard,8.1,3.0,2026-01-10,volleyball,Open gym or tournament,75.0,7.0,525.0,1.0
13,1,1,2026-01-16,jump_test,approach_vertical,36.0,inches,Fresh,5,36.0,Weight room,Basketball shoes,4,,35.9,0.10000000000000142,36.53,37.7,False,35.3,0.7000000000000028,1.98,6.7,2,1,1,0,5,3,5,76.1,2255.0,5388.0,,Train Hard,5.6,2.0,2026-01-15,recovery,Mobility and low-intensity recovery,35.0,2.0,70.0,1.0
17,1,1,2026-01-21,jump_test,approach_vertical,35.5,inches,Morning test,3,35.5,Weight room,Volleyball shoes,4,,36.0,-0.5,35.8,37.7,False,35.3,0.20000000000000284,0.57,5.4,1,1,0,0,5,2,5,73.2,2391.0,7261.0,,Train Hard,7.9,3.0,2026-01-20,plyometric,Jump power and elasticity,45.0,8.0,360.0,1.0
21,1,2,2026-01-26,jump_test,approach_vertical,37.3,inches,After practice,3,37.3,Weight room,Volleyball shoes,3,,35.5,1.7999999999999972,36.27,37.7,False,35.3,2.0,5.67,6.6,2,1,0,0,5,4,5,72.2,2462.0,8895.0,,Train Hard,8.1,4.0,2026-01-25,rest,Full rest day,0.0,0.0,0.0,1.0
25,1,2,2026-01-31,jump_test,approach_vertical,35.3,inches,After warmup,3,35.3,Track surface,Volleyball shoes,3,,37.3,-2.0,36.03,37.7,False,35.3,0.0,0.0,7.0,2,2,4,1,5,4,5,70.8,2811.0,10336.0,1.0878482972136223,Train Hard,6.5,2.0,2026-01-30,strength,Upper-body strength,70.0,7.0,490.0,1.0
29,1,2,2026-02-05,jump_test,approach_vertical,35.8,inches,After practice,3,35.8,Track surface,Basketball shoes,4,,35.3,0.5,36.13,37.7,False,35.3,0.5,1.42,6.0,1,3,1,1,5,3,5,66.4,2907.0,10403.0,1.1177544938959916,Modify Training,6.5,3.0,2026-02-04,volleyball,Skill practice and gameplay,112.0,7.0,784.0,1.0
33,1,2,2026-02-10,jump_test,approach_vertical,38.8,inches,After warmup,4,38.8,Track surface,Basketball shoes,4,,35.8,3.0,36.63,38.8,True,35.3,3.5,9.92,6.3,3,3,0,2,5,2,5,78.3,2413.0,10054.0,0.9600159140640541,Train Hard,5.4,1.0,2026-02-09,strength,Lower-body strength,79.0,7.0,553.0,1.0
37,1,2,2026-02-15,jump_test,approach_vertical,37.2,inches,After practice,4,37.2,Weight room,Training shoes,5,,38.8,-1.5999999999999943,37.27,38.8,False,35.3,1.9000000000000057,5.38,6.9,3,3,1,0,5,4,5,72.1,2998.0,10377.0,1.155632649127879,Train Hard,7.4,3.0,2026-02-14,volleyball,Open gym or tournament,120.0,4.0,480.0,1.0
41,1,3,2026-02-20,jump_test,approach_vertical,35.5,inches,After practice,3,35.5,Weight room,Training shoes,5,,37.2,-1.7000000000000028,37.17,38.8,False,35.3,0.20000000000000284,0.57,6.7,1,4,0,2,5,3,5,65.7,3159.0,11533.0,1.095638602271742,Modify Training,6.6,2.0,2026-02-19,recovery,Mobility and low-intensity recovery,34.0,3.0,102.0,1.0
45,1,3,2026-02-25,jump_test,approach_vertical,36.9,inches,Morning test,5,36.9,Track surface,Volleyball shoes,3,,35.5,1.3999999999999986,36.53,38.8,False,35.3,1.6000000000000014,4.53,6.5,1,5,3,1,5,3,5,63.1,1920.0,10517.0,0.7302462679471332,Modify Training,6.3,2.0,2026-02-24,rest,Full rest day,0.0,0.0,0.0,1.0
49,1,3,2026-03-02,jump_test,approach_vertical,37.7,inches,After practice,3,37.7,Weight room,Basketball shoes,4,,36.9,0.8000000000000043,36.7,38.8,False,35.3,2.4000000000000057,6.8,7.8,3,2,0,0,5,4,5,76.4,1988.0,10667.0,0.7454767038530046,Train Hard,6.1,1.0,2026-03-01,rest,Full rest day,0.0,0.0,0.0,1.0
53,1,3,2026-03-07,jump_test,approach_vertical,38.0,inches,After warmup,4,38.0,Weight room,Volleyball shoes,4,,37.7,0.29999999999999716,37.53,38.8,False,35.3,2.700000000000003,7.65,6.4,3,2,2,2,5,3,5,77.0,2071.0,10506.0,0.7885018084903864,Train Hard,8.3,3.0,2026-03-06,strength,Upper-body strength,87.0,6.0,522.0,1.0
57,1,3,2026-03-12,jump_test,approach_vertical,36.6,inches,Morning test,4,36.6,Track surface,Volleyball shoes,4,,38.0,-1.3999999999999986,37.43,38.8,False,35.3,1.3000000000000043,3.68,8.0,2,1,2,2,5,4,4,72.8,2604.0,9976.0,1.0441058540497192,Train Hard,6.2,1.0,2026-03-11,volleyball,Skill practice and gameplay,91.0,7.0,637.0,1.0
61,1,4,2026-03-17,jump_test,approach_vertical,39.1,inches,Morning test,5,39.1,Indoor court,Volleyball shoes,3,,36.6,2.5,37.9,39.1,True,35.3,3.8000000000000043,10.76,6.8,2,2,1,1,5,3,5,74.1,1747.0,8993.0,0.7770488157455799,Train Hard,7.9,3.0,2026-03-16,rest,Full rest day,0.0,0.0,0.0,1.0
65,1,4,2026-03-22,jump_test,approach_vertical,38.9,inches,Morning test,5,38.9,Track surface,Volleyball shoes,4,,39.1,-0.20000000000000284,38.2,39.1,False,35.3,3.6000000000000014,10.2,8.0,5,2,1,0,5,2,5,91.8,1932.0,8536.0,0.9053420805998126,Train Hard,7.4,1.0,2026-03-21,volleyball,Open gym or tournament,86.0,4.0,344.0,1.0
69,1,4,2026-03-27,jump_test,approach_vertical,39.2,inches,Morning test,5,39.2,Weight room,Basketball shoes,4,,38.9,0.30000000000000426,39.07,39.2,True,35.3,3.9000000000000057,11.05,6.6,2,3,2,1,5,4,5,67.7,2301.0,9484.0,0.9704765921552088,Modify Training,7.1,3.0,2026-03-26,recovery,Mobility and low-intensity recovery,35.0,1.0,35.0,1.0
73,1,4,2026-04-01,jump_test,approach_vertical,38.3,inches,After practice,5,38.3,Track surface,Basketball shoes,5,,39.2,-0.9000000000000057,38.8,39.2,False,35.3,3.0,8.5,6.7,1,4,3,1,5,2,4,67.0,2515.0,9646.0,1.0429193448061373,Modify Training,7.3,2.0,2026-03-31,plyometric,Jump power and elasticity,44.0,8.0,352.0,1.0
77,1,4,2026-04-06,jump_test,approach_vertical,38.8,inches,Morning test,4,38.8,Weight room,Basketball shoes,5,,38.3,0.5,38.77,39.2,False,35.3,3.5,9.92,7.0,2,4,1,0,5,3,5,70.1,3089.0,9894.0,1.2488376794016576,Train Hard,8.2,4.0,2026-04-05,rest,Full rest day,0.0,0.0,0.0,1.0
4,1,1,2026-01-01,jump_test,standing_touch,124.1,inches,After practice,5,124.1,Indoor court,Volleyball shoes,4,,,,124.1,124.1,True,124.1,0.0,0.0,8.2,5,2,1,1,5,3,5,88.5,100.0,100.0,,Train Hard,,,,,,,,,
8,1,1,2026-01-06,jump_test,standing_touch,123.7,inches,After practice,5,123.7,Weight room,Basketball shoes,4,,124.1,-0.3999999999999915,123.9,124.1,False,124.1,-0.3999999999999915,-0.32,6.9,3,1,0,0,5,2,5,84.1,1372.0,1372.0,,Train Hard,6.9,1.0,2026-01-05,strength,Lower-body strength,54.0,6.0,324.0,1.0
12,1,1,2026-01-11,jump_test,standing_touch,123.5,inches,After practice,4,123.5,Track surface,Basketball shoes,2,,123.7,-0.20000000000000284,123.77,124.1,False,124.1,-0.5999999999999943,-0.48,7.3,3,1,2,1,5,4,5,77.5,2778.0,3658.0,,Train Hard,8.1,3.0,2026-01-10,volleyball,Open gym or tournament,75.0,7.0,525.0,1.0
16,1,1,2026-01-16,jump_test,standing_touch,121.5,inches,After practice,4,121.5,Indoor court,Basketball shoes,4,,123.5,-2.0,122.9,124.1,False,124.1,-2.5999999999999943,-2.1,6.7,2,1,1,0,5,3,5,76.1,2255.0,5388.0,,Train Hard,5.6,2.0,2026-01-15,recovery,Mobility and low-intensity recovery,35.0,2.0,70.0,1.0
20,1,1,2026-01-21,jump_test,standing_touch,121.8,inches,Fresh,4,121.8,Track surface,Training shoes,2,,121.5,0.29999999999999716,122.27,124.1,False,124.1,-2.299999999999997,-1.85,5.4,1,1,0,0,5,2,5,73.2,2391.0,7261.0,,Train Hard,7.9,3.0,2026-01-20,plyometric,Jump power and elasticity,45.0,8.0,360.0,1.0
24,1,2,2026-01-26,jump_test,standing_touch,125.5,inches,After warmup,5,125.5,Track surface,Volleyball shoes,4,,121.8,3.700000000000003,122.93,125.5,True,124.1,1.4000000000000057,1.13,6.6,2,1,0,0,5,4,5,72.2,2462.0,8895.0,,Train Hard,8.1,4.0,2026-01-25,rest,Full rest day,0.0,0.0,0.0,1.0
28,1,2,2026-01-31,jump_test,standing_touch,121.9,inches,After warmup,3,121.9,Track surface,Basketball shoes,5,,125.5,-3.5999999999999943,123.07,125.5,False,124.1,-2.1999999999999886,-1.77,7.0,2,2,4,1,5,4,5,70.8,2811.0,10336.0,1.0878482972136223,Train Hard,6.5,2.0,2026-01-30,strength,Upper-body strength,70.0,7.0,490.0,1.0
32,1,2,2026-02-05,jump_test,standing_touch,124.1,inches,Fresh,5,124.1,Indoor court,Volleyball shoes,4,,121.9,2.1999999999999886,123.83,125.5,False,124.1,0.0,0.0,6.0,1,3,1,1,5,3,5,66.4,2907.0,10403.0,1.1177544938959916,Modify Training,6.5,3.0,2026-02-04,volleyball,Skill practice and gameplay,112.0,7.0,784.0,1.0
36,1,2,2026-02-10,jump_test,standing_touch,126.6,inches,After practice,4,126.6,Weight room,Training shoes,3,,124.1,2.5,124.2,126.6,True,124.1,2.5,2.01,6.3,3,3,0,2,5,2,5,78.3,2413.0,10054.0,0.9600159140640541,Train Hard,5.4,1.0,2026-02-09,strength,Lower-body strength,79.0,7.0,553.0,1.0
40,1,2,2026-02-15,jump_test,standing_touch,125.4,inches,Fresh,5,125.4,Indoor court,Basketball shoes,5,,126.6,-1.1999999999999886,125.37,126.6,False,124.1,1.3000000000000114,1.05,6.9,3,3,1,0,5,4,5,72.1,2998.0,10377.0,1.155632649127879,Train Hard,7.4,3.0,2026-02-14,volleyball,Open gym or tournament,120.0,4.0,480.0,1.0
44,1,3,2026-02-20,jump_test,standing_touch,122.8,inches,After warmup,5,122.8,Track surface,Training shoes,5,,125.4,-2.6000000000000085,124.93,126.6,False,124.1,-1.2999999999999972,-1.05,6.7,1,4,0,2,5,3,5,65.7,3159.0,11533.0,1.095638602271742,Modify Training,6.6,2.0,2026-02-19,recovery,Mobility and low-intensity recovery,34.0,3.0,102.0,1.0
48,1,3,2026-02-25,jump_test,standing_touch,122.1,inches,After practice,3,122.1,Weight room,Volleyball shoes,4,,122.8,-0.7000000000000028,123.43,126.6,False,124.1,-2.0,-1.61,6.5,1,5,3,1,5,3,5,63.1,1920.0,10517.0,0.7302462679471332,Modify Training,6.3,2.0,2026-02-24,rest,Full rest day,0.0,0.0,0.0,1.0
52,1,3,2026-03-02,jump_test,standing_touch,124.0,inches,Fresh,4,124.0,Track surface,Basketball shoes,4,,122.1,1.9000000000000057,122.97,126.6,False,124.1,-0.09999999999999432,-0.08,7.8,3,2,0,0,5,4,5,76.4,1988.0,10667.0,0.7454767038530046,Train Hard,6.1,1.0,2026-03-01,rest,Full rest day,0.0,0.0,0.0,1.0
56,1,3,2026-03-07,jump_test,standing_touch,124.1,inches,After practice,4,124.1,Indoor court,Volleyball shoes,3,,124.0,0.09999999999999432,123.4,126.6,False,124.1,0.0,0.0,6.4,3,2,2,2,5,3,5,77.0,2071.0,10506.0,0.7885018084903864,Train Hard,8.3,3.0,2026-03-06,strength,Upper-body strength,87.0,6.0,522.0,1.0
60,1,3,2026-03-12,jump_test,standing_touch,125.8,inches,Morning test,4,125.8,Track surface,Training shoes,3,,124.1,1.7000000000000028,124.63,126.6,False,124.1,1.7000000000000028,1.37,8.0,2,1,2,2,5,4,4,72.8,2604.0,9976.0,1.0441058540497192,Train Hard,6.2,1.0,2026-03-11,volleyball,Skill practice and gameplay,91.0,7.0,637.0,1.0
64,1,4,2026-03-17,jump_test,standing_touch,126.2,inches,Morning test,4,126.2,Weight room,Volleyball shoes,3,,125.8,0.4000000000000057,125.37,126.6,False,124.1,2.1000000000000085,1.69,6.8,2,2,1,1,5,3,5,74.1,1747.0,8993.0,0.7770488157455799,Train Hard,7.9,3.0,2026-03-16,rest,Full rest day,0.0,0.0,0.0,1.0
68,1,4,2026-03-22,jump_test,standing_touch,125.7,inches,After practice,4,125.7,Weight room,Training shoes,5,,126.2,-0.5,125.9,126.6,False,124.1,1.6000000000000085,1.29,8.0,5,2,1,0,5,2,5,91.8,1932.0,8536.0,0.9053420805998126,Train Hard,7.4,1.0,2026-03-21,volleyball,Open gym or tournament,86.0,4.0,344.0,1.0
72,1,4,2026-03-27,jump_test,standing_touch,126.7,inches,Fresh,3,126.7,Indoor court,Training shoes,4,,125.7,1.0,126.2,126.7,True,124.1,2.6000000000000085,2.1,6.6,2,3,2,1,5,4,5,67.7,2301.0,9484.0,0.9704765921552088,Modify Training,7.1,3.0,2026-03-26,recovery,Mobility and low-intensity recovery,35.0,1.0,35.0,1.0
76,1,4,2026-04-01,jump_test,standing_touch,126.9,inches,Morning test,4,126.9,Indoor court,Training shoes,3,,126.7,0.20000000000000284,126.43,126.9,True,124.1,2.8000000000000114,2.26,6.7,1,4,3,1,5,2,4,67.0,2515.0,9646.0,1.0429193448061373,Modify Training,7.3,2.0,2026-03-31,plyometric,Jump power and elasticity,44.0,8.0,352.0,1.0
80,1,4,2026-04-06,jump_test,standing_touch,124.1,inches,After practice,3,124.1,Weight room,Basketball shoes,5,,126.9,-2.8000000000000114,125.9,126.9,False,124.1,0.0,0.0,7.0,2,4,1,0,5,3,5,70.1,3089.0,9894.0,1.2488376794016576,Train Hard,8.2,4.0,2026-04-05,rest,Full rest day,0.0,0.0,0.0,1.0
2,1,1,2026-01-01,jump_test,standing_vertical,32.2,inches,Fresh,5,32.2,Weight room,Volleyball shoes,5,,,,32.2,32.2,True,32.2,0.0,0.0,8.2,5,2,1,1,5,3,5,88.5,100.0,100.0,,Train Hard,,,,,,,,,
6,1,1,2026-01-06,jump_test,standing_vertical,31.8,inches,Morning test,5,31.8,Track surface,Volleyball shoes,4,,32.2,-0.40000000000000213,32.0,32.2,False,32.2,-0.40000000000000213,-1.24,6.9,3,1,0,0,5,2,5,84.1,1372.0,1372.0,,Train Hard,6.9,1.0,2026-01-05,strength,Lower-body strength,54.0,6.0,324.0,1.0
10,1,1,2026-01-11,jump_test,standing_vertical,31.6,inches,After warmup,3,31.6,Indoor court,Basketball shoes,5,,31.8,-0.1999999999999993,31.87,32.2,False,32.2,-0.6000000000000014,-1.86,7.3,3,1,2,1,5,4,5,77.5,2778.0,3658.0,,Train Hard,8.1,3.0,2026-01-10,volleyball,Open gym or tournament,75.0,7.0,525.0,1.0
14,1,1,2026-01-16,jump_test,standing_vertical,29.6,inches,After practice,5,29.6,Weight room,Training shoes,3,,31.6,-2.0,31.0,32.2,False,32.2,-2.6000000000000014,-8.07,6.7,2,1,1,0,5,3,5,76.1,2255.0,5388.0,,Train Hard,5.6,2.0,2026-01-15,recovery,Mobility and low-intensity recovery,35.0,2.0,70.0,1.0
18,1,1,2026-01-21,jump_test,standing_vertical,29.9,inches,Morning test,3,29.9,Weight room,Basketball shoes,5,,29.6,0.29999999999999716,30.37,32.2,False,32.2,-2.3000000000000043,-7.14,5.4,1,1,0,0,5,2,5,73.2,2391.0,7261.0,,Train Hard,7.9,3.0,2026-01-20,plyometric,Jump power and elasticity,45.0,8.0,360.0,1.0
22,1,2,2026-01-26,jump_test,standing_vertical,33.6,inches,After practice,4,33.6,Weight room,Basketball shoes,3,,29.9,3.700000000000003,31.03,33.6,True,32.2,1.3999999999999986,4.35,6.6,2,1,0,0,5,4,5,72.2,2462.0,8895.0,,Train Hard,8.1,4.0,2026-01-25,rest,Full rest day,0.0,0.0,0.0,1.0
26,1,2,2026-01-31,jump_test,standing_vertical,30.0,inches,After warmup,5,30.0,Track surface,Basketball shoes,4,,33.6,-3.6000000000000014,31.17,33.6,False,32.2,-2.200000000000003,-6.83,7.0,2,2,4,1,5,4,5,70.8,2811.0,10336.0,1.0878482972136223,Train Hard,6.5,2.0,2026-01-30,strength,Upper-body strength,70.0,7.0,490.0,1.0
30,1,2,2026-02-05,jump_test,standing_vertical,32.2,inches,Fresh,5,32.2,Indoor court,Basketball shoes,4,,30.0,2.200000000000003,31.93,33.6,False,32.2,0.0,0.0,6.0,1,3,1,1,5,3,5,66.4,2907.0,10403.0,1.1177544938959916,Modify Training,6.5,3.0,2026-02-04,volleyball,Skill practice and gameplay,112.0,7.0,784.0,1.0
34,1,2,2026-02-10,jump_test,standing_vertical,34.7,inches,Morning test,3,34.7,Track surface,Basketball shoes,5,,32.2,2.5,32.3,34.7,True,32.2,2.5,7.76,6.3,3,3,0,2,5,2,5,78.3,2413.0,10054.0,0.9600159140640541,Train Hard,5.4,1.0,2026-02-09,strength,Lower-body strength,79.0,7.0,553.0,1.0
38,1,2,2026-02-15,jump_test,standing_vertical,33.5,inches,Fresh,3,33.5,Weight room,Volleyball shoes,5,,34.7,-1.2000000000000028,33.47,34.7,False,32.2,1.2999999999999972,4.04,6.9,3,3,1,0,5,4,5,72.1,2998.0,10377.0,1.155632649127879,Train Hard,7.4,3.0,2026-02-14,volleyball,Open gym or tournament,120.0,4.0,480.0,1.0
42,1,3,2026-02-20,jump_test,standing_vertical,30.9,inches,Fresh,5,30.9,Track surface,Volleyball shoes,5,,33.5,-2.6000000000000014,33.03,34.7,False,32.2,-1.3000000000000043,-4.04,6.7,1,4,0,2,5,3,5,65.7,3159.0,11533.0,1.095638602271742,Modify Training,6.6,2.0,2026-02-19,recovery,Mobility and low-intensity recovery,34.0,3.0,102.0,1.0
46,1,3,2026-02-25,jump_test,standing_vertical,30.2,inches,Fresh,5,30.2,Weight room,Training shoes,5,,30.9,-0.6999999999999993,31.53,34.7,False,32.2,-2.0000000000000036,-6.21,6.5,1,5,3,1,5,3,5,63.1,1920.0,10517.0,0.7302462679471332,Modify Training,6.3,2.0,2026-02-24,rest,Full rest day,0.0,0.0,0.0,1.0
50,1,3,2026-03-02,jump_test,standing_vertical,32.1,inches,Fresh,5,32.1,Indoor court,Basketball shoes,5,,30.2,1.9000000000000021,31.07,34.7,False,32.2,-0.10000000000000142,-0.31,7.8,3,2,0,0,5,4,5,76.4,1988.0,10667.0,0.7454767038530046,Train Hard,6.1,1.0,2026-03-01,rest,Full rest day,0.0,0.0,0.0,1.0
